sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
213384046153671,213384146687379,sda,13360,6840320,64.888062,0,8.882593,893
213384146687379,213384247440394,sda,11552,5914624,55.984677,0,6.749178,680
213384247440394,213384348058598,sda,11992,6139904,58.194924,0,8.010479,806
213384348058598,213384448558803,sda,13936,7135232,67.708195,0,8.646749,869
213384448558803,213384549165833,sda,11504,5890048,55.832952,0,6.530359,657
213384549165833,213384649688814,sda,11304,5787648,54.908153,0,6.386599,642
213384649688814,213384750253179,sda,10400,5324800,50.496267,0,6.364083,640
213384750253179,213384850801935,sda,11664,5971968,56.642297,0,7.409341,745
213384850801935,213384951436173,sda,8936,4575232,43.357821,0,5.495148,553
213384951436173,213385052411677,sda,9808,5021696,47.427963,0,5.644933,570
213385052411677,213385153028987,sda,12960,6635520,62.893005,0,7.553372,760
213385153028987,213385253619398,sda,9712,4972544,47.143534,0,5.537307,557
213385253619398,213385354483010,sda,13368,6844416,64.714555,0,7.316811,738
213385354483010,213385455202623,sda,10136,5189632,49.138580,0,5.976989,602
213385455202623,213385555790460,sda,12456,6377472,60.464878,0,7.545644,759
213385555790460,213385656634066,sda,14672,7512064,71.041316,0,7.982658,805
213385656634066,213385757179557,sda,15032,7696384,73.000228,0,8.772149,882
213385757179557,213385857810926,sda,11504,5890048,55.819448,0,6.240599,628
213385857810926,213385958408275,sda,14048,7192576,68.186439,0,7.525049,757
213385958408275,213386059025580,sda,14264,7303168,69.221132,0,7.931041,798
213386059025580,213386159574315,sda,14448,7397376,70.161872,0,8.423776,847
213386159574315,213386260174845,sda,13312,6815744,64.611986,0,7.296184,734
213386260174845,213386360810351,sda,14968,7663616,72.624405,0,8.396639,845
213386360810351,213386461353132,sda,12528,6414336,60.841638,0,6.972156,701
213386461353132,213386561743608,sda,12928,6619136,62.879471,0,7.480789,751
213386561743608,213386662314953,sda,11648,5963776,56.551894,0,6.482960,652
213386662314953,213386762838063,sda,13016,6664192,63.223957,0,7.172480,721
213386762838063,213386863231602,sda,11912,6098944,57.936062,0,7.102051,713
213386863231602,213386963816075,sda,12648,6475776,61.398952,0,6.770429,681
213386963816075,213387064483361,sda,11056,5660672,53.626533,0,6.715190,676
213387064483361,213387165080319,sda,12720,6512640,61.740808,0,7.077749,712
213387165080319,213387265580529,sda,11984,6135808,58.224381,0,7.761178,780
213387265580529,213387366202885,sda,9664,4947968,46.895642,0,6.708251,675
213387366202885,213387466759034,sda,12968,6639616,62.970105,0,7.955754,800
213387466759034,213387567352265,sda,11776,6029312,57.160904,0,7.863352,791
213387567352265,213387667961749,sda,12152,6221824,58.976485,0,7.017231,706
213387667961749,213387768569069,sda,13232,6774784,64.219358,0,7.295692,734
213387768569069,213387869414040,sda,10048,5144576,48.651410,0,6.961180,702
213387869414040,213387970300125,sda,9912,5074944,47.973353,0,5.798619,585
213387970300125,213388071032233,sda,12480,6389760,60.494614,0,8.269459,833
213388071032233,213388171656586,sda,14488,7417856,70.303247,0,8.178935,823
213388171656586,213388272271402,sda,13568,6946816,65.845173,0,7.643010,769
213388272271402,213388372904168,sda,13032,6672384,63.232697,0,7.174602,722
213388372904168,213388473661025,sda,13576,6950912,65.791118,0,7.314639,737
213388473661025,213388574181537,sda,14056,7196672,68.277420,0,8.077953,812
213388574181537,213388674706801,sda,13968,7151616,67.846750,0,7.818930,786
213388674706801,213388775281112,sda,13464,6893568,65.366779,0,7.695802,774
213388775281112,213388875915275,sda,11632,5955584,56.438960,0,6.399417,644
213388875915275,213388976448433,sda,15608,7991296,75.806768,0,9.389937,944
213388976448433,213389077052328,sda,13832,7081984,67.133646,0,7.584199,763
213389077052328,213389177655186,sda,13088,6701056,63.523295,0,7.643918,769
213389177655186,213389278280042,sda,14776,7565312,71.700413,0,7.831067,788
213389278280042,213389378986483,sda,13560,6942720,65.746477,0,7.586407,764
213389378986483,213389479486480,sda,14328,7335936,69.612875,0,7.840796,788
