sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266043103959684,266043204544250,80.379747,0.000000,158,127,0
266043204544250,266043305175824,77.070064,0.000000,157,121,0
266043305175824,266043406248641,77.639752,0.621118,161,125,1
266043406248641,266043507113715,74.213836,0.628931,159,118,1
266043507113715,266043608069581,82.389937,0.000000,159,131,0
266043608069581,266043708673720,81.132075,1.257862,159,129,2
266043708673720,266043809280922,81.250000,0.000000,160,130,0
266043809280922,266043910063109,76.875000,0.625000,160,123,1
266043910063109,266044010675059,79.375000,0.625000,160,127,1
266044010675059,266044111362781,72.435897,0.000000,156,113,0
266044111362781,266044212103069,81.987578,0.621118,161,132,1
266044212103069,266044312734406,84.076433,0.000000,157,132,0
266044312734406,266044413289512,79.874214,0.000000,159,127,0
266044413289512,266044514437996,74.691358,0.617284,162,121,1
266044514437996,266044615561182,75.949367,0.000000,158,120,0
266044615561182,266044716203400,80.000000,0.625000,160,128,1
266044716203400,266044816808495,82.389937,0.000000,159,131,0
266044816808495,266044917691968,81.012658,0.632911,158,128,1
266044917691968,266045018304351,78.881988,0.621118,161,127,1
266045018304351,266045119100914,84.276730,0.000000,159,134,0
266045119100914,266045219600825,82.608696,0.621118,161,133,1
266045219600825,266045320175352,79.874214,0.000000,159,127,0
266045320175352,266045420834848,78.125000,1.250000,160,125,2
266045420834848,266045522281212,82.500000,0.625000,160,132,1
266045522281212,266045622840071,82.608696,0.000000,161,133,0
266045622840071,266045723835136,79.746835,0.000000,158,126,0
266045723835136,266045824491059,74.050633,0.632911,158,117,1
266045824491059,266045925554953,70.625000,0.625000,160,113,1
266045925554953,266046026173655,81.761006,0.628931,159,130,1
266046026173655,266046126783783,85.000000,0.000000,160,136,0
266046126783783,266046227432982,77.987421,0.000000,159,124,0
266046227432982,266046328293815,74.213836,0.628931,159,118,1
266046328293815,266046429164345,83.647799,0.628931,159,133,1
266046429164345,266046529900547,85.000000,0.000000,160,136,0
266046529900547,266046630573800,78.125000,0.000000,160,125,0
266046630573800,266046731629281,74.683544,0.632911,158,118,1
266046731629281,266046832193252,68.553459,0.628931,159,109,1
266046832193252,266046933332605,78.881988,0.621118,161,127,1
266046933332605,266047033902909,77.070064,0.000000,157,121,0
266047033902909,266047135108441,72.151899,0.632911,158,114,1
266047135108441,266047235745398,72.327044,0.628931,159,115,1
266047235745398,266047336506451,81.012658,0.000000,158,128,0
266047336506451,266047437244699,71.698113,0.628931,159,114,1
266047437244699,266047538709210,71.604938,1.234568,162,116,2
266047538709210,266047639881491,74.213836,0.628931,159,118,1
266047639881491,266047740769983,78.481013,0.000000,158,124,0
266047740769983,266047841475844,69.182390,0.628931,159,110,1
266047841475844,266047942213330,72.955975,0.628931,159,116,1
266047942213330,266048042858550,78.481013,0.000000,158,124,0
266048042858550,266048143541722,79.245283,0.628931,159,126,1
