sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
213931250729315,213931352192642,319969657,312056895,12,12
213931352192642,213931453846716,319969657,312056895,0,0
213931453846716,213931555076955,319969657,312056895,0,0
213931555076955,213931656189144,319969657,312056895,0,0
213931656189144,213931757314545,319969657,312056895,0,0
213931757314545,213931858098319,319969657,312056895,0,0
213931858098319,213931959055555,319969657,312056895,0,0
213931959055555,213932060865700,319969657,312056895,0,0
213932060865700,213932162432619,319969657,312056895,0,0
213932162432619,213932263163563,319969657,312056895,0,0
213932263163563,213932364508741,319969657,312056895,0,0
213932364508741,213932465809336,319969657,312056895,0,0
213932465809336,213932566910839,319969657,312056895,0,0
213932566910839,213932668316969,319969657,312056895,0,0
213932668316969,213932769664798,319969657,312056895,0,0
213932769664798,213932870959004,319970250,312057474,593,579
213932870959004,213932972272333,319970250,312057474,0,0
213932972272333,213933073629269,319970250,312057474,0,0
213933073629269,213933174841872,319970250,312057474,0,0
213933174841872,213933276261957,319970250,312057474,0,0
213933276261957,213933377617281,319970264,312057488,14,14
213933377617281,213933479082873,319970605,312057821,341,333
213933479082873,213933579741857,319970605,312057821,0,0
213933579741857,213933680507781,319970605,312057821,0,0
213933680507781,213933781303726,319970605,312057821,0,0
213933781303726,213933881927763,319970756,312057967,151,146
213933881927763,213933982645470,319970756,312057967,0,0
213933982645470,213934083295504,319970756,312057967,0,0
213934083295504,213934183961774,319970756,312057967,0,0
213934183961774,213934284784223,319970756,312057967,0,0
213934284784223,213934385537280,319970808,312058007,52,40
213934385537280,213934486552108,319970808,312058007,0,0
213934486552108,213934587412340,319970808,312058007,0,0
213934587412340,213934688166985,319970808,312058007,0,0
213934688166985,213934788842963,319970808,312058007,0,0
213934788842963,213934889601659,319970808,312058007,0,0
213934889601659,213934990308827,319971514,312058699,706,692
213934990308827,213935090921021,319971514,312058699,0,0
213935090921021,213935191799138,319971514,312058699,0,0
213935191799138,213935292663642,319971514,312058699,0,0
213935292663642,213935393487611,319971520,312058705,6,6
213935393487611,213935494302900,319971520,312058705,0,0
213935494302900,213935595066964,319971520,312058705,0,0
213935595066964,213935695726173,319971520,312058705,0,0
213935695726173,213935796349571,319971520,312058705,0,0
213935796349571,213935897486199,319971525,312058710,5,5
213935897486199,213935998217789,319971525,312058710,0,0
213935998217789,213936098897754,319971525,312058710,0,0
213936098897754,213936199617765,319971525,312058710,0,0
213936199617765,213936300373129,319971547,312058721,22,11
